feature set,n_feat,auroc_all,auroc_day3_7,brier,bss,value,delta_vs_prev
A forecast amount only,4,0.7949867432354303,0.7916465367481139,0.03077703945422962,0.11184790902014885,0.27590529247910867,0.0
B + disagreement,12,0.8179660603104496,0.817577137731255,0.030514624663116965,0.11942057518829496,0.2911559888579388,0.022979317075019323
C + climatology,18,0.8243988493566641,0.8252644144019098,0.030657630827069574,0.11529375773639539,0.30194986072423396,0.006432789046214471
D + ERA5 state,44,0.8431039908361653,0.840536792125728,0.030566549129200454,0.11792215870825484,0.30229805013927574,0.018705141479501197
E + regime (full),52,0.8428474549572322,0.8401215578811266,0.030535740316795595,0.11881122769095132,0.3103064066852368,-0.00025653587893303964
