model,n,base_rate,auroc,brier,bss,ece,threshold,pod,far,csi,cost_per_1000,value
lagged-ensemble spread (proxy),20060,0.03305084745762712,0.760452297400097,0.030704278885862534,0.03924497357974355,0.0053249055844674445,0.08,0.34087481146304677,0.8684516880093132,0.1048723897911833,292.2233300099701,0.11583710407239822
true IFS ENS spread (calibrated),20060,0.03305084745762712,0.7992146085316951,0.030881203289173775,0.033708904473233936,0.007986741488608133,0.09,0.4177978883861237,0.8757847533632287,0.1058868501529052,289.7806580259222,0.12322775263951737
XGBoost + isotonic (our model),20060,0.03305084745762712,0.8399658839190121,0.029147455009102506,0.08795891245478937,0.010755452352071298,0.08,0.4464555052790347,0.7864357864357865,0.1688533941814033,237.28813559322035,0.28205128205128205
