scale_factor,median_injected_error_mm,frac_now_truly_bust,mean_predicted_prob,flagged_rate_at_0.10,flagged_rate_at_0.20,detection_rate_on_injected
1.0,0.0,0.0,0.038332629948854446,0.040063353585709095,0.027704211455574595,
1.25,0.6315555572509766,0.024718284260268994,0.05246991291642189,0.07833515085423483,0.05829049176922677,0.7783613445378151
1.5,1.5049777030944824,0.05930311055719998,0.07043624669313431,0.12556472970867735,0.099028924546918,0.8366900175131349
2.0,3.6888208389282227,0.14415537207249313,0.11010368168354034,0.2173235706496339,0.18323207145453602,0.8618515850144092
3.0,9.011764526367188,0.31720932647868305,0.18446967005729675,0.3731370410759724,0.33255439580412316,0.894654988949824
4.0,14.9151611328125,0.4520434127849613,0.24329285323619843,0.4783974658565716,0.43841200602378355,0.9066628374497415
6.0,27.33655548095703,0.6054681414550553,0.32451435923576355,0.6047670976787661,0.5709352443267384,0.9296282001801106
