model,n,base_rate,auroc,brier,bss,ece,threshold,pod,far,csi,cost_per_1000,value,dropout
dropout 0%,39950,0.035944931163954946,0.84283767303515,0.030524015756771973,0.11914957058180298,0.009680713723100101,0.08,0.46518105849582175,0.770051635111876,0.18186768309283963,248.23529411764707,0.3094011142061282,0.0
dropout 10%,39950,0.035944931163954946,0.8046176783669304,0.03200695255954605,0.07635554472582451,0.010504950122422283,0.16,0.35376044568245124,0.7422628107559615,0.17523283890996896,268.91113892365456,0.25188022284122563,0.1
dropout 30%,39950,0.035944931163954946,0.7447015522915877,0.037011028214996786,-0.06805016601251479,0.02111220369225622,0.18000000000000002,0.2966573816155989,0.8428044280442805,0.11451612903225807,309.9874843554443,0.13760445682451256,0.3
dropout 50%,39950,0.035944931163954946,0.6930274007368155,0.043440921213566124,-0.2536015709794812,0.04052170810198764,0.35000000000000003,0.15181058495821728,0.9003656307129799,0.06400469759248385,354.1927409261577,0.014623955431754904,0.5
